"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","5.6","59.4","0.5","0.1","9.0"
"Sam LaPorta","DET","5.7","58.6","0.5","0.0","8.5"
"George Kittle","SF","4.5","56.8","0.4","0.0","8.0"
"Trey McBride","ARI","5.6","57.7","0.3","0.1","7.7"
"Kyle Pitts","ATL","4.4","54.5","0.3","0.0","7.3"
"Mark Andrews","BAL","4.2","50.0","0.4","0.0","7.2"
"Dalton Kincaid","BUF","4.9","48.9","0.3","0.0","6.6"
"Dallas Goedert","PHI","4.8","52.2","0.2","0.0","6.5"
"Brock Bowers","LV","4.4","47.5","0.2","0.0","6.1"
"Isaiah Likely","BAL","3.5","39.9","0.3","0.0","5.8"
"Taysom Hill","NO","1.4","13.5","0.1","0.0","5.1"
"Colby Parkinson","LAR","3.4","36.5","0.2","0.0","5.1"
"Dalton Schultz","HOU","3.5","35.2","0.3","0.0","5.0"
"Cade Otton","TB","3.3","32.1","0.2","0.0","4.5"
"Pat Freiermuth","PIT","3.3","32.9","0.2","0.0","4.4"
"Hunter Henry","NE","2.9","31.1","0.2","0.0","4.4"
"Noah Fant","SEA","3.1","31.7","0.2","0.0","4.2"
"Tyler Conklin","NYJ","2.9","29.8","0.2","0.0","4.1"
"Zach Ertz","WAS","3.1","28.6","0.2","0.0","4.0"
"Luke Schoonmaker","DAL","2.5","27.5","0.2","0.0","4.0"
"Mike Gesicki","CIN","3.0","29.1","0.2","0.0","3.9"
"Jordan Akins","CLE","2.8","27.3","0.2","0.0","3.9"
"Cole Kmet","CHI","2.8","27.3","0.2","0.0","3.8"
"Chig Okonkwo","TEN","2.7","29.2","0.1","0.0","3.7"
"Hayden Hurst","LAC","2.7","27.3","0.2","0.0","3.7"
"Juwan Johnson","NO","2.4","25.4","0.2","0.0","3.6"
"Tucker Kraft","GB","2.6","26.4","0.2","0.0","3.6"
"Brevyn Spann-Ford","DAL","2.2","22.1","0.2","0.0","3.3"
"Gerald Everett","CHI","2.5","23.3","0.2","0.0","3.3"
"Greg Dulcich","DEN","2.4","25.4","0.1","0.0","3.3"
"Theo Johnson","NYG","2.2","24.1","0.1","0.0","3.1"
"Jonnu Smith","MIA","2.1","22.6","0.1","0.0","3.1"
"Foster Moreau","NO","2.0","21.4","0.1","0.0","3.0"
"Johnny Mundt","MIN","2.3","21.0","0.1","0.0","2.8"
"Kylen Granson","IND","2.0","19.9","0.1","0.0","2.7"
"Josh Oliver","MIN","1.8","18.7","0.1","0.0","2.7"
"Dawson Knox","BUF","1.7","17.4","0.1","0.0","2.6"
"Brenton Strange","JAC","1.8","17.9","0.1","0.0","2.5"
"Ja'Tavion Sanders","CAR","1.8","18.4","0.1","0.0","2.4"
"Luke Farrell","JAC","1.7","16.2","0.1","0.0","2.2"
"Tommy Tremble","CAR","1.5","14.9","0.1","0.0","2.1"
"Mo Alie-Cox","IND","1.2","13.7","0.1","0.0","1.9"
"Michael Mayer","LV","1.5","15.3","0.1","0.0","1.9"
"Austin Hooper","NE","1.6","15.6","0.1","0.0","1.9"
"Noah Gray","KC","1.3","13.4","0.1","0.0","1.8"
"Luke Musgrave","GB","1.3","14.1","0.1","0.0","1.8"
"Adam Trautman","DEN","1.2","12.2","0.1","0.0","1.8"
"Drew Sample","CIN","1.3","12.6","0.1","0.0","1.8"
"Josh Whyle","TEN","1.2","12.6","0.1","0.0","1.8"
"Will Dissly","LAC","1.3","11.2","0.1","0.0","1.6"
"Durham Smythe","MIA","1.0","9.5","0.1","0.0","1.4"
"Hunter Long","LAR","1.0","10.4","0.1","0.0","1.4"
"Daniel Bellinger","NYG","1.0","9.0","0.1","0.0","1.3"
"Darnell Washington","PIT","0.9","9.3","0.0","0.0","1.2"
"Erick All Jr.","CIN","0.8","9.0","0.1","0.0","1.2"
"Drew Ogletree","IND","0.8","8.3","0.1","0.0","1.2"
"Charlie Woerner","ATL","0.9","8.4","0.1","0.0","1.2"
"Elijah Higgins","ARI","0.8","8.0","0.1","0.0","1.1"
"AJ Barner","SEA","0.8","7.8","0.1","0.0","1.1"
"Blake Whiteheart","CLE","0.9","7.9","0.1","0.0","1.1"
"John Bates","WAS","0.8","8.1","0.0","0.0","1.1"
"Jeremy Ruckert","NYJ","0.7","7.4","0.0","0.0","1.0"
"MyCole Pruitt","PIT","0.6","6.2","0.1","0.0","1.0"
"Ben Sinnott","WAS","0.5","5.4","0.0","0.0","0.8"
"Payne Durham","TB","0.5","5.1","0.0","0.0","0.8"
"Brock Wright","DET","0.5","4.7","0.0","0.0","0.7"
"Grant Calcaterra","PHI","0.4","4.4","0.0","0.0","0.6"
"Julian Hill","MIA","0.4","4.2","0.0","0.0","0.6"
"Stone Smartt","LAC","0.3","3.6","0.0","0.0","0.6"
"Jared Wiley","KC","0.3","3.5","0.0","0.0","0.5"
"Eric Saubert","SF","0.3","3.3","0.0","0.0","0.5"
"Tip Reiman","ARI","0.3","3.2","0.0","0.0","0.5"
"Quintin Morris","BUF","0.2","2.4","0.0","0.0","0.4"
"Jordan Matthews","CAR","0.3","2.9","0.0","0.0","0.4"
"Harrison Bryant","LV","0.3","2.4","0.0","0.0","0.4"
"Chris Manhertz","NYG","0.2","2.2","0.0","0.0","0.3"
"Nick Vannett","TEN","0.2","2.3","0.0","0.0","0.3"
"Cade Stover","HOU","0.2","1.8","0.0","0.0","0.2"
"Nate Adkins","DEN","0.2","1.6","0.0","0.0","0.2"
"Jaheim Bell","NE","0.1","1.3","0.0","0.0","0.2"
"Connor Heyward","PIT","0.2","1.8","0.0","0.0","0.2"
"Charlie Kolar","BAL","0.2","1.5","0.0","0.0","0.2"
"Parker Hesse","DET","0.1","0.6","0.0","0.0","0.1"
"Donald Parham Jr.","DEN","0.1","0.5","0.0","0.0","0.1"
"Evan Engram","JAC","0.0","0.0","0.0","0.0","0.0"
"David Njoku","CLE","0.0","0.0","0.0","0.0","0.0"
"Jake Ferguson","DAL","0.0","0.0","0.0","0.0","0.0"
"Ian Thomas","CAR","0.0","0.0","0.0","0.0","0.0"
"Will Mallory","IND","0.0","0.0","0.0","0.0","0.0"
"Davis Allen","LAR","0.0","0.0","0.0","0.0","0.0"
"Tanner Hudson","CIN","0.0","0.0","0.0","0.0","0.0"
"Pharaoh Brown","SEA","0.0","0.0","0.0","0.0","0.0"
"Lucas Krull","DEN","0.0","0.0","0.0","0.0","0.0"
"Ko Kieft","TB","0.0","0.0","0.0","0.0","0.0"
"John Stephens Jr.","DAL","0.0","0.0","0.0","0.0","0.0"
"Peyton Hendershot","KC","0.0","0.0","0.0","0.0","0.0"
"Ross Dwelley","ATL","0.0","0.0","0.0","0.0","0.0"
"Dallin Holker","NO","0.0","0.0","0.0","0.0","0.0"
"Brenden Bates","NYJ","0.0","0.0","0.0","0.0","0.0"
"Nick Muse","MIN","0.0","0.0","0.0","0.0","0.0"
"Marcedes Lewis","CHI","0.0","0.0","0.0","0.0","0.0"
"Ben Sims","GB","0.0","0.0","0.0","0.0","0.0"
"Travis Vokolek","ARI","0.0","0.0","0.0","0.0","0.0"
"Tanner McLachlan","CIN","0.0","0.0","0.0","0.0","0.0"
"Devin Culp","TB","0.0","0.0","0.0","0.0","0.0"
"Thomas Odukoya","TEN","0.0","0.0","0.0","0.0","0.0"
"Tanner Conner","MIA","0.0","0.0","0.0","0.0","0.0"
"Brady Russell","SEA","0.0","0.0","0.0","0.0","0.0"
"Jake Tonges","SF","0.0","0.0","0.0","0.0","0.0"
"Colson Yankoff","WAS","0.0","0.0","0.0","0.0","0.0"
"David Martin-Robinson","TEN","0.0","0.0","0.0","0.0","0.0"
"Robert Tonyan","MIN","0.0","0.0","0.0","0.0","0.0"
"Eric Tomlinson","LAC","0.0","0.0","0.0","0.0","0.0"
"Anthony Firkser","NYJ","0.0","0.0","0.0","0.0","0.0"
"N'Keal Harry","MIN","0.0","0.0","0.0","0.0","0.0"
"Irv Smith Jr.","HOU","0.0","0.0","0.0","0.0","0.0"
"Geoff Swaim","CLE","0.0","0.0","0.0","0.0","0.0"
"Stephen Carlson","CHI","0.0","0.0","0.0","0.0","0.0"
"Josiah Deguara","JAC","0.0","0.0","0.0","0.0","0.0"
"Sean McKeon","IND","0.0","0.0","0.0","0.0","0.0"
"Chris Myarick","HOU","0.0","0.0","0.0","0.0","0.0"
"Zach Davidson","BUF","0.0","0.0","0.0","0.0","0.0"
"Feleipe Franks","CAR","0.0","0.0","0.0","0.0","0.0"
"Sammis Reyes","MIN","0.0","0.0","0.0","0.0","0.0"
"Tommy Hudson","NO","0.0","0.0","0.0","0.0","0.0"
"Miller Forristall","LAR","0.0","0.0","0.0","0.0","0.0"
"Mitchell Wilcox","NE","0.0","0.0","0.0","0.0","0.0"
"Jack Stoll","PHI","0.0","0.0","0.0","0.0","0.0"
"Shane Zylstra","DET","0.0","0.0","0.0","0.0","0.0"
"Tyler Mabry","SEA","0.0","0.0","0.0","0.0","0.0"
"Teagan Quitoriano","CHI","0.0","0.0","0.0","0.0","0.0"
"Cole Turner","WAS","0.0","0.0","0.0","0.0","0.0"
"John FitzPatrick","ATL","0.0","0.0","0.0","0.0","0.0"
"James Mitchell","DET","0.0","0.0","0.0","0.0","0.0"
"Nikola Kalinic","LAR","0.0","0.0","0.0","0.0","0.0"
"Cameron Latu","CLE","0.0","0.0","0.0","0.0","0.0"
"Zack Kuntz","NYJ","0.0","0.0","0.0","0.0","0.0"
"Brayden Willis","SF","0.0","0.0","0.0","0.0","0.0"
"Princeton Fant","DAL","0.0","0.0","0.0","0.0","0.0"
"Tucker Fisk","LAC","0.0","0.0","0.0","0.0","0.0"
"Rodney Williams","PIT","0.0","0.0","0.0","0.0","0.0"
"E.J. Jenkins","PHI","0.0","0.0","0.0","0.0","0.0"
""
""
