"Player","Team","REC","YDS","TDS","FL","FPTS"
"Luke Farrell","JAC","1.5","14.0","0.1","0.0","1.9"
"Ja'Tavion Sanders","CAR","1.1","13.2","0.1","0.0","1.7"
"Austin Hooper","NE","1.3","13.6","0.1","0.0","1.7"
"Michael Mayer","LV","1.2","12.7","0.1","0.0","1.6"
"Josh Oliver","MIN","1.0","10.4","0.1","0.0","1.6"
"Mo Alie-Cox","IND","1.0","11.0","0.1","0.0","1.6"
"Noah Gray","KC","1.1","11.4","0.1","0.0","1.5"
"Luke Musgrave","GB","1.2","12.2","0.1","0.0","1.5"
"Elijah Higgins","ARI","0.9","9.2","0.1","0.0","1.3"
"Grant Calcaterra","PHI","0.9","9.5","0.1","0.0","1.3"
"Josh Whyle","TEN","0.9","9.3","0.1","0.0","1.3"
"Darnell Washington","PIT","1.0","9.4","0.1","0.0","1.2"
"Cade Stover","HOU","0.8","8.4","0.1","0.0","1.2"
"Blake Whiteheart","CLE","0.9","7.8","0.1","0.0","1.2"
"Luke Schoonmaker","DAL","0.8","8.4","0.1","0.0","1.2"
"Jeremy Ruckert","NYJ","0.8","8.2","0.1","0.0","1.1"
"Drew Sample","CIN","0.7","6.5","0.1","0.0","1.0"
"Drew Ogletree","IND","0.6","6.2","0.1","0.0","0.9"
"Durham Smythe","MIA","0.7","6.0","0.0","0.0","0.8"
"Adam Trautman","DEN","0.6","6.2","0.0","0.0","0.8"
"Charlie Woerner","ATL","0.5","4.9","0.0","0.0","0.7"
"Pharaoh Brown","SEA","0.4","4.5","0.0","0.0","0.7"
"Daniel Bellinger","NYG","0.6","5.1","0.0","0.0","0.7"
"Ben Sinnott","WAS","0.4","4.4","0.0","0.0","0.6"
"Jared Wiley","KC","0.4","4.1","0.0","0.0","0.6"
"Nick Vannett","TEN","0.4","4.3","0.0","0.0","0.6"
"Stone Smartt","LAC","0.4","4.3","0.0","0.0","0.6"
"John Bates","WAS","0.5","4.7","0.0","0.0","0.6"
"Dallin Holker","NO","0.4","3.7","0.0","0.0","0.6"
"Chris Manhertz","NYG","0.4","4.0","0.0","0.0","0.5"
"Connor Heyward","PIT","0.4","4.3","0.0","0.0","0.5"
"Julian Hill","MIA","0.4","3.4","0.0","0.0","0.5"
"Payne Durham","TB","0.3","3.3","0.0","0.0","0.5"
"Charlie Kolar","BAL","0.3","3.6","0.0","0.0","0.5"
"Brock Wright","DET","0.3","3.1","0.0","0.0","0.5"
"AJ Barner","SEA","0.3","2.9","0.0","0.0","0.4"
"Quintin Morris","BUF","0.3","2.5","0.0","0.0","0.4"
"Harrison Bryant","LV","0.3","2.9","0.0","0.0","0.4"
"Brevyn Spann-Ford","DAL","0.3","2.5","0.0","0.0","0.4"
"Tip Reiman","ARI","0.3","2.5","0.0","0.0","0.4"
"Feleipe Franks","CAR","0.2","2.3","0.0","0.0","0.3"
"Nate Adkins","DEN","0.2","1.5","0.0","0.0","0.2"
"Jaheim Bell","NE","0.1","1.2","0.0","0.0","0.2"
"Eric Tomlinson","LAC","0.1","1.0","0.0","0.0","0.2"
"Jordan Matthews","CAR","0.1","0.6","0.0","0.0","0.1"
"Ko Kieft","TB","0.1","0.6","0.0","0.0","0.1"
"Donald Parham Jr.","DEN","0.1","0.5","0.0","0.0","0.1"
"Ben Sims","GB","0.1","0.5","0.0","0.0","0.0"
"Evan Engram","JAC","0.0","0.0","0.0","0.0","0.0"
"George Kittle","SF","0.0","0.0","0.0","0.0","0.0"
"David Njoku","CLE","0.0","0.0","0.0","0.0","0.0"
"Taysom Hill","NO","0.0","0.0","0.0","0.0","0.0"
"Ian Thomas","CAR","0.0","0.0","0.0","0.0","0.0"
"Will Mallory","IND","0.0","0.0","0.0","0.0","0.0"
"Davis Allen","LAR","0.0","0.0","0.0","0.0","0.0"
"Tanner Hudson","CIN","0.0","0.0","0.0","0.0","0.0"
"Lucas Krull","DEN","0.0","0.0","0.0","0.0","0.0"
"MyCole Pruitt","PIT","0.0","0.0","0.0","0.0","0.0"
"John Stephens Jr.","DAL","0.0","0.0","0.0","0.0","0.0"
"Peyton Hendershot","KC","0.0","0.0","0.0","0.0","0.0"
"Ross Dwelley","ATL","0.0","0.0","0.0","0.0","0.0"
"Brenden Bates","NYJ","0.0","0.0","0.0","0.0","0.0"
"Nick Muse","MIN","0.0","0.0","0.0","0.0","0.0"
"Marcedes Lewis","CHI","0.0","0.0","0.0","0.0","0.0"
"Parker Hesse","DET","0.0","0.0","0.0","0.0","0.0"
"Travis Vokolek","ARI","0.0","0.0","0.0","0.0","0.0"
"Tanner McLachlan","CIN","0.0","0.0","0.0","0.0","0.0"
"Devin Culp","TB","0.0","0.0","0.0","0.0","0.0"
"Thomas Odukoya","TEN","0.0","0.0","0.0","0.0","0.0"
"Tanner Conner","MIA","0.0","0.0","0.0","0.0","0.0"
"Brady Russell","SEA","0.0","0.0","0.0","0.0","0.0"
"Colson Yankoff","WAS","0.0","0.0","0.0","0.0","0.0"
"David Martin-Robinson","TEN","0.0","0.0","0.0","0.0","0.0"
"Robert Tonyan","MIN","0.0","0.0","0.0","0.0","0.0"
"Anthony Firkser","NYJ","0.0","0.0","0.0","0.0","0.0"
"N'Keal Harry","MIN","0.0","0.0","0.0","0.0","0.0"
"Irv Smith Jr.","HOU","0.0","0.0","0.0","0.0","0.0"
"Geoff Swaim","CLE","0.0","0.0","0.0","0.0","0.0"
"Stephen Carlson","CHI","0.0","0.0","0.0","0.0","0.0"
"Josiah Deguara","JAC","0.0","0.0","0.0","0.0","0.0"
"Sean McKeon","IND","0.0","0.0","0.0","0.0","0.0"
"Chris Myarick","HOU","0.0","0.0","0.0","0.0","0.0"
"Zach Davidson","BUF","0.0","0.0","0.0","0.0","0.0"
"Sammis Reyes","MIN","0.0","0.0","0.0","0.0","0.0"
"Tommy Hudson","NO","0.0","0.0","0.0","0.0","0.0"
"Miller Forristall","LAR","0.0","0.0","0.0","0.0","0.0"
"Mitchell Wilcox","NE","0.0","0.0","0.0","0.0","0.0"
"Jack Stoll","PHI","0.0","0.0","0.0","0.0","0.0"
"Shane Zylstra","DET","0.0","0.0","0.0","0.0","0.0"
"Tyler Mabry","SEA","0.0","0.0","0.0","0.0","0.0"
"Teagan Quitoriano","CHI","0.0","0.0","0.0","0.0","0.0"
"Cole Turner","WAS","0.0","0.0","0.0","0.0","0.0"
"John FitzPatrick","ATL","0.0","0.0","0.0","0.0","0.0"
"James Mitchell","DET","0.0","0.0","0.0","0.0","0.0"
"Nikola Kalinic","LAR","0.0","0.0","0.0","0.0","0.0"
"Cameron Latu","CLE","0.0","0.0","0.0","0.0","0.0"
"Zack Kuntz","NYJ","0.0","0.0","0.0","0.0","0.0"
"Brayden Willis","SF","0.0","0.0","0.0","0.0","0.0"
"Princeton Fant","DAL","0.0","0.0","0.0","0.0","0.0"
"Tucker Fisk","LAC","0.0","0.0","0.0","0.0","0.0"
"Rodney Williams","PIT","0.0","0.0","0.0","0.0","0.0"
"E.J. Jenkins","PHI","0.0","0.0","0.0","0.0","0.0"
""
""
